😀	grinning face	1f600
🛝	playground slide	1f6dd
🎡	ferris wheel	1f3a1
🎢	roller coaster	1f3a2
💈	barber pole	1f488
🎪	circus tent	1f3aa
🚂	locomotive	1f682
🚃	railway car	1f683
🚄	high-speed train	1f684
🚅	bullet train	1f685
🚆	train	1f686
🚇	metro	1f687
🚈	light rail	1f688
🚉	station	1f689
🚊	tram	1f68a
🚝	monorail	1f69d
🚞	mountain railway	1f69e
🚋	tram car	1f68b
🚌	bus	1f68c
🚍	oncoming bus	1f68d
🚎	trolleybus	1f68e
🚐	minibus	1f690
🚑	ambulance	1f691
🚒	fire engine	1f692
🚓	police car	1f693
🚔	oncoming police car	1f694
🚕	taxi	1f695
🚖	oncoming taxi	1f696
🚗	automobile	1f697
🚘	oncoming automobile	1f698
🚙	sport utility vehicle	1f699
🛻	pickup truck	1f6fb
🚚	delivery truck	1f69a
🚛	articulated lorry	1f69b
🚜	tractor	1f69c
🏎️	racing car	1f3ce-fe0f
🏍️	motorcycle	1f3cd-fe0f
🛵	motor scooter	1f6f5
🦽	manual wheelchair	1f9bd
🦼	motorized wheelchair	1f9bc
🛺	auto rickshaw	1f6fa
🚲	bicycle	1f6b2
🛴	kick scooter	1f6f4
🛹	skateboard	1f6f9
🛼	roller skate	1f6fc
🚏	bus stop	1f68f
🛣️	motorway	1f6e3-fe0f
🛤️	railway track	1f6e4-fe0f
🛢️	oil drum	1f6e2-fe0f
⛽	fuel pump	26fd
🛞	wheel	1f6de
🚨	police car light	1f6a8
🚥	horizontal traffic light	1f6a5
🚦	vertical traffic light	1f6a6
🛑	stop sign	1f6d1
🚧	construction	1f6a7
⚓	anchor	2693
🛟	ring buoy	1f6df
⛵	sailboat	26f5
🛶	canoe	1f6f6
🚤	speedboat	1f6a4
🛳️	passenger ship	1f6f3-fe0f
⛴️	ferry	26f4-fe0f
🛥️	motor boat	1f6e5-fe0f
🚢	ship	1f6a2
✈️	airplane	2708-fe0f
🛩️	small airplane	1f6e9-fe0f
🛫	airplane departure	1f6eb
🛬	airplane arrival	1f6ec
🪂	parachute	1fa82
💺	seat	1f4ba
🚁	helicopter	1f681
🚟	suspension railway	1f69f
🚠	mountain cableway	1f6a0
🚡	aerial tramway	1f6a1
🛰️	satellite	1f6f0-fe0f
🚀	rocket	1f680
🛸	flying saucer	1f6f8
🛎️	bellhop bell	1f6ce-fe0f
🧳	luggage	1f9f3
⌛	hourglass done	231b
⏳	hourglass not done	23f3
⌚	watch	231a
⏰	alarm clock	23f0
⏱️	stopwatch	23f1-fe0f
⏲️	timer clock	23f2-fe0f
🕰️	mantelpiece clock	1f570-fe0f
🕛	twelve o’clock	1f55b
🕧	twelve-thirty	1f567
🕐	one o’clock	1f550
🕜	one-thirty	1f55c
🕑	two o’clock	1f551
🕝	two-thirty	1f55d
🕒	three o’clock	1f552
🕞	three-thirty	1f55e
🕓	four o’clock	1f553
🕟	four-thirty	1f55f
🕔	five o’clock	1f554
🕠	five-thirty	1f560
🕕	six o’clock	1f555
🕡	six-thirty	1f561
🕖	seven o’clock	1f556
🕢	seven-thirty	1f562
🕗	eight o’clock	1f557
🕣	eight-thirty	1f563
🕘	nine o’clock	1f558
🕤	nine-thirty	1f564
🕙	ten o’clock	1f559
🕥	ten-thirty	1f565
🕚	eleven o’clock	1f55a
🕦	eleven-thirty	1f566
🌑	new moon	1f311
🌒	waxing crescent moon	1f312
🌓	first quarter moon	1f313
🌔	waxing gibbous moon	1f314
🌕	full moon	1f315
🌖	waning gibbous moon	1f316
🌗	last quarter moon	1f317
🌘	waning crescent moon	1f318
🌙	crescent moon	1f319
🌚	new moon face	1f31a
🌛	first quarter moon face	1f31b
🌜	last quarter moon face	1f31c
🌡️	thermometer	1f321-fe0f
☀️	sun	2600-fe0f
🌝	full moon face	1f31d
🌞	sun with face	1f31e
🪐	ringed planet	1fa90
⭐	star	2b50
🌟	glowing star	1f31f
🌠	shooting star	1f320
🌌	milky way	1f30c
☁️	cloud	2601-fe0f
⛅	sun behind cloud	26c5
⛈️	cloud with lightning and rain	26c8-fe0f
🌤️	sun behind small cloud	1f324-fe0f
🌥️	sun behind large cloud	1f325-fe0f
🌦️	sun behind rain cloud	1f326-fe0f
🌧️	cloud with rain	1f327-fe0f
🌨️	cloud with snow	1f328-fe0f
🌩️	cloud with lightning	1f329-fe0f
🌪️	tornado	1f32a-fe0f
🌫️	fog	1f32b-fe0f
🌬️	wind face	1f32c-fe0f
🌀	cyclone	1f300
🌈	rainbow	1f308
🌂	closed umbrella	1f302
☂️	umbrella	2602-fe0f
☔	umbrella with rain drops	2614
⛱️	umbrella on ground	26f1-fe0f
⚡	high voltage	26a1
❄️	snowflake	2744-fe0f
☃️	snowman	2603-fe0f
⛄	snowman without snow	26c4
☄️	comet	2604-fe0f
🔥	fire	1f525
💧	droplet	1f4a7
🌊	water wave	1f30a
🎃	jack-o-lantern	1f383
🎄	Christmas tree	1f384
🎆	fireworks	1f386
🎇	sparkler	1f387
🧨	firecracker	1f9e8
✨	sparkles	2728
🎈	balloon	1f388
🎉	party popper	1f389
🎊	confetti ball	1f38a
🎋	tanabata tree	1f38b
🎍	pine decoration	1f38d
🎎	Japanese dolls	1f38e
🎏	carp streamer	1f38f
🎐	wind chime	1f390
🎑	moon viewing ceremony	1f391
🧧	red envelope	1f9e7
🎀	ribbon	1f380
🎁	wrapped gift	1f381
🎗️	reminder ribbon	1f397-fe0f
🎟️	admission tickets	1f39f-fe0f
🎫	ticket	1f3ab
🎖️	military medal	1f396-fe0f
🏆	trophy	1f3c6
🏅	sports medal	1f3c5
🥇	1st place medal	1f947
🥈	2nd place medal	1f948
🥉	3rd place medal	1f949
⚽	soccer ball	26bd
⚾	baseball	26be
🥎	softball	1f94e
🏀	basketball	1f3c0
🏐	volleyball	1f3d0
🏈	american football	1f3c8
🏉	rugby football	1f3c9
🎾	tennis	1f3be
🥏	flying disc	1f94f
🎳	bowling	1f3b3
🏏	cricket game	1f3cf
🏑	field hockey	1f3d1
🏒	ice hockey	1f3d2
🥍	lacrosse	1f94d
🏓	ping pong	1f3d3
🏸	badminton	1f3f8
🥊	boxing glove	1f94a
🥋	martial arts uniform	1f94b
🥅	goal net	1f945
⛳	flag in hole	26f3
⛸️	ice skate	26f8-fe0f
🎣	fishing pole	1f3a3
🤿	diving mask	1f93f
🎽	running shirt	1f3bd
🎿	skis	1f3bf
🛷	sled	1f6f7
🥌	curling stone	1f94c
🎯	bullseye	1f3af
🪀	yo-yo	1fa80
🪁	kite	1fa81
🔫	water pistol	1f52b
🎱	pool 8 ball	1f3b1
🔮	crystal ball	1f52e
🪄	magic wand	1fa84
🎮	video game	1f3ae
🕹️	joystick	1f579-fe0f
🎰	slot machine	1f3b0
🎲	game die	1f3b2
🧩	puzzle piece	1f9e9
🧸	teddy bear	1f9f8
🪅	piñata	1fa85
🪩	mirror ball	1faa9
🪆	nesting dolls	1fa86
♠️	spade suit	2660-fe0f
♥️	heart suit	2665-fe0f
♦️	diamond suit	2666-fe0f
♣️	club suit	2663-fe0f
♟️	chess pawn	265f-fe0f
🃏	joker	1f0cf
🀄	mahjong red dragon	1f004
🎴	flower playing cards	1f3b4
🎭	performing arts	1f3ad
🖼️	framed picture	1f5bc-fe0f
🎨	artist palette	1f3a8
🧵	thread	1f9f5
🪡	sewing needle	1faa1
🧶	yarn	1f9f6
🪢	knot	1faa2
👓	glasses	1f453
🕶️	sunglasses	1f576-fe0f
🥽	goggles	1f97d
🥼	lab coat	1f97c
🦺	safety vest	1f9ba
👔	necktie	1f454
👕	t-shirt	1f455
👖	jeans	1f456
🧣	scarf	1f9e3
🧤	gloves	1f9e4
🧥	coat	1f9e5
🧦	socks	1f9e6
👗	dress	1f457
👘	kimono	1f458
🥻	sari	1f97b
🩱	one-piece swimsuit	1fa71
🩲	briefs	1fa72
🩳	shorts	1fa73
👙	bikini	1f459
👚	woman’s clothes	1f45a
🪭	folding hand fan	1faad
👛	purse	1f45b
👜	handbag	1f45c
👝	clutch bag	1f45d
🛍️	shopping bags	1f6cd-fe0f
🎒	backpack	1f392
🩴	thong sandal	1fa74
👞	man’s shoe	1f45e
👟	running shoe	1f45f
🥾	hiking boot	1f97e
🥿	flat shoe	1f97f
👠	high-heeled shoe	1f460
👡	woman’s sandal	1f461
🩰	ballet shoes	1fa70
👢	woman’s boot	1f462
🪮	hair pick	1faae
👑	crown	1f451
👒	woman’s hat	1f452
🎩	top hat	1f3a9
🎓	graduation cap	1f393
🧢	billed cap	1f9e2
🪖	military helmet	1fa96
⛑️	rescue worker’s helmet	26d1-fe0f
📿	prayer beads	1f4ff
💄	lipstick	1f484
💍	ring	1f48d
💎	gem stone	1f48e
🔇	muted speaker	1f507
🔈	speaker low volume	1f508
🔉	speaker medium volume	1f509
🔊	speaker high volume	1f50a
📢	loudspeaker	1f4e2
📣	megaphone	1f4e3
📯	postal horn	1f4ef
🔔	bell	1f514
🔕	bell with slash	1f515
🎼	musical score	1f3bc
🎵	musical note	1f3b5
🎶	musical notes	1f3b6
🎙️	studio microphone	1f399-fe0f
🎚️	level slider	1f39a-fe0f
🎛️	control knobs	1f39b-fe0f
🎤	microphone	1f3a4
🎧	headphone	1f3a7
📻	radio	1f4fb
🎷	saxophone	1f3b7
🎺	trumpet	1f3ba
🪊	trombone	1fa8a
🪗	accordion	1fa97
🎸	guitar	1f3b8
🎹	musical keyboard	1f3b9
🎻	violin	1f3bb
🪕	banjo	1fa95
🥁	drum	1f941
🪘	long drum	1fa98
🪇	maracas	1fa87
🪈	flute	1fa88
🪉	harp	1fa89
📱	mobile phone	1f4f1
📲	mobile phone with arrow	1f4f2
☎️	telephone	260e-fe0f
📞	telephone receiver	1f4de
📟	pager	1f4df
📠	fax machine	1f4e0
🔋	battery	1f50b
🪫	low battery	1faab
🔌	electric plug	1f50c
💻	laptop	1f4bb
🖥️	desktop computer	1f5a5-fe0f
🖨️	printer	1f5a8-fe0f
⌨️	keyboard	2328-fe0f
🖱️	computer mouse	1f5b1-fe0f
🖲️	trackball	1f5b2-fe0f
💽	computer disk	1f4bd
💾	floppy disk	1f4be
💿	optical disk	1f4bf
📀	dvd	1f4c0
🧮	abacus	1f9ee
🎥	movie camera	1f3a5
🎞️	film frames	1f39e-fe0f
📽️	film projector	1f4fd-fe0f
🎬	clapper board	1f3ac
📺	television	1f4fa
📷	camera	1f4f7
📸	camera with flash	1f4f8
📹	video camera	1f4f9
📼	videocassette	1f4fc
🔍	magnifying glass tilted left	1f50d
🔎	magnifying glass tilted right	1f50e
🕯️	candle	1f56f-fe0f
💡	light bulb	1f4a1
🔦	flashlight	1f526
🏮	red paper lantern	1f3ee
🪔	diya lamp	1fa94
📔	notebook with decorative cover	1f4d4
📕	closed book	1f4d5
📖	open book	1f4d6
📗	green book	1f4d7
📘	blue book	1f4d8
📙	orange book	1f4d9
📚	books	1f4da
📓	notebook	1f4d3
📒	ledger	1f4d2
📃	page with curl	1f4c3
📜	scroll	1f4dc
📄	page facing up	1f4c4
📰	newspaper	1f4f0
🗞️	rolled-up newspaper	1f5de-fe0f
📑	bookmark tabs	1f4d1
🔖	bookmark	1f516
🏷️	label	1f3f7-fe0f
🪙	coin	1fa99
💰	money bag	1f4b0
🪎	treasure chest	1fa8e
💴	yen banknote	1f4b4
💵	dollar banknote	1f4b5
💶	euro banknote	1f4b6
💷	pound banknote	1f4b7
💸	money with wings	1f4b8
💳	credit card	1f4b3
🧾	receipt	1f9fe
💹	chart increasing with yen	1f4b9
✉️	envelope	2709-fe0f
📧	e-mail	1f4e7
📨	incoming envelope	1f4e8
📩	envelope with arrow	1f4e9
📤	outbox tray	1f4e4
📥	inbox tray	1f4e5
📦	package	1f4e6
📫	closed mailbox with raised flag	1f4eb
📪	closed mailbox with lowered flag	1f4ea
📬	open mailbox with raised flag	1f4ec
📭	open mailbox with lowered flag	1f4ed
📮	postbox	1f4ee
🗳️	ballot box with ballot	1f5f3-fe0f
✏️	pencil	270f-fe0f
✒️	black nib	2712-fe0f
🖋️	fountain pen	1f58b-fe0f
🖊️	pen	1f58a-fe0f
🖌️	paintbrush	1f58c-fe0f
🖍️	crayon	1f58d-fe0f
📝	memo	1f4dd
💼	briefcase	1f4bc
📁	file folder	1f4c1
📂	open file folder	1f4c2
🗂️	card index dividers	1f5c2-fe0f
📅	calendar	1f4c5
📆	tear-off calendar	1f4c6
🗒️	spiral notepad	1f5d2-fe0f
🗓️	spiral calendar	1f5d3-fe0f
📇	card index	1f4c7
📈	chart increasing	1f4c8
📉	chart decreasing	1f4c9
📊	bar chart	1f4ca
📋	clipboard	1f4cb
📌	pushpin	1f4cc
📍	round pushpin	1f4cd
📎	paperclip	1f4ce
🖇️	linked paperclips	1f587-fe0f
📏	straight ruler	1f4cf
📐	triangular ruler	1f4d0
✂️	scissors	2702-fe0f
🗃️	card file box	1f5c3-fe0f
🗄️	file cabinet	1f5c4-fe0f
🗑️	wastebasket	1f5d1-fe0f
🔒	locked	1f512
🔓	unlocked	1f513
🔏	locked with pen	1f50f
🔐	locked with key	1f510
🔑	key	1f511
🗝️	old key	1f5dd-fe0f
🔨	hammer	1f528
🪓	axe	1fa93
⛏️	pick	26cf-fe0f
⚒️	hammer and pick	2692-fe0f
🛠️	hammer and wrench	1f6e0-fe0f
🗡️	dagger	1f5e1-fe0f
⚔️	crossed swords	2694-fe0f
💣	bomb	1f4a3
🪃	boomerang	1fa83
🏹	bow and arrow	1f3f9
🛡️	shield	1f6e1-fe0f
🪚	carpentry saw	1fa9a
🔧	wrench	1f527
🪛	screwdriver	1fa9b
🔩	nut and bolt	1f529
⚙️	gear	2699-fe0f
🗜️	clamp	1f5dc-fe0f
⚖️	balance scale	2696-fe0f
🦯	white cane	1f9af
🔗	link	1f517
⛓️‍💥	broken chain	26d3-fe0f-200d-1f4a5
⛓️	chains	26d3-fe0f
🪝	hook	1fa9d
🧰	toolbox	1f9f0
🧲	magnet	1f9f2
🪜	ladder	1fa9c
🪏	shovel	1fa8f
⚗️	alembic	2697-fe0f
🧪	test tube	1f9ea
🧫	petri dish	1f9eb
🧬	dna	1f9ec
🔬	microscope	1f52c
🔭	telescope	1f52d
📡	satellite antenna	1f4e1
💉	syringe	1f489
🩸	drop of blood	1fa78
💊	pill	1f48a
🩹	adhesive bandage	1fa79
🩼	crutch	1fa7c
🩺	stethoscope	1fa7a
🩻	x-ray	1fa7b
🚪	door	1f6aa
🛗	elevator	1f6d7
🪞	mirror	1fa9e
🪟	window	1fa9f
🛏️	bed	1f6cf-fe0f
🛋️	couch and lamp	1f6cb-fe0f
🪑	chair	1fa91
🚽	toilet	1f6bd
🪠	plunger	1faa0
🚿	shower	1f6bf
🛁	bathtub	1f6c1
🪤	mouse trap	1faa4
🪒	razor	1fa92
🧴	lotion bottle	1f9f4
🧷	safety pin	1f9f7
🧹	broom	1f9f9
🧺	basket	1f9fa
🧻	roll of paper	1f9fb
🪣	bucket	1faa3
🧼	soap	1f9fc
🫧	bubbles	1fae7
🪥	toothbrush	1faa5
🧽	sponge	1f9fd
🧯	fire extinguisher	1f9ef
🛒	shopping cart	1f6d2
🚬	cigarette	1f6ac
⚰️	coffin	26b0-fe0f
🪦	headstone	1faa6
⚱️	funeral urn	26b1-fe0f
🧿	nazar amulet	1f9ff
🪬	hamsa	1faac
🗿	moai	1f5ff
🪧	placard	1faa7
🪪	identification card	1faaa
🏧	ATM sign	1f3e7
🚮	litter in bin sign	1f6ae
🚰	potable water	1f6b0
♿	wheelchair symbol	267f
🚹	men’s room	1f6b9
🚺	women’s room	1f6ba
🚻	restroom	1f6bb
🚼	baby symbol	1f6bc
🚾	water closet	1f6be
🛂	passport control	1f6c2
🛃	customs	1f6c3
🛄	baggage claim	1f6c4
🛅	left luggage	1f6c5
⚠️	warning	26a0-fe0f
🚸	children crossing	1f6b8
⛔	no entry	26d4
🚫	prohibited	1f6ab
🚳	no bicycles	1f6b3
🚭	no smoking	1f6ad
🚯	no littering	1f6af
🚱	non-potable water	1f6b1
🚷	no pedestrians	1f6b7
📵	no mobile phones	1f4f5
🔞	no one under eighteen	1f51e
☢️	radioactive	2622-fe0f
☣️	biohazard	2623-fe0f
⬆️	up arrow	2b06-fe0f
↗️	up-right arrow	2197-fe0f
➡️	right arrow	27a1-fe0f
↘️	down-right arrow	2198-fe0f
⬇️	down arrow	2b07-fe0f
↙️	down-left arrow	2199-fe0f
⬅️	left arrow	2b05-fe0f
↖️	up-left arrow	2196-fe0f
↕️	up-down arrow	2195-fe0f
↔️	left-right arrow	2194-fe0f
↩️	right arrow curving left	21a9-fe0f
↪️	left arrow curving right	21aa-fe0f
⤴️	right arrow curving up	2934-fe0f
⤵️	right arrow curving down	2935-fe0f
🔃	clockwise vertical arrows	1f503
🔄	counterclockwise arrows button	1f504
🔙	BACK arrow	1f519
🔚	END arrow	1f51a
🔛	ON! arrow	1f51b
🔜	SOON arrow	1f51c
🔝	TOP arrow	1f51d
🛐	place of worship	1f6d0
⚛️	atom symbol	269b-fe0f
🕉️	om	1f549-fe0f
✡️	star of David	2721-fe0f
☸️	wheel of dharma	2638-fe0f
☯️	yin yang	262f-fe0f
✝️	latin cross	271d-fe0f
☦️	orthodox cross	2626-fe0f
☪️	star and crescent	262a-fe0f
☮️	peace symbol	262e-fe0f
🕎	menorah	1f54e
🔯	dotted six-pointed star	1f52f
🪯	khanda	1faaf
♈	Aries	2648
♉	Taurus	2649
♊	Gemini	264a
♋	Cancer	264b
♌	Leo	264c
♍	Virgo	264d
♎	Libra	264e
♏	Scorpio	264f
♐	Sagittarius	2650
♑	Capricorn	2651
♒	Aquarius	2652
♓	Pisces	2653
⛎	Ophiuchus	26ce
🔀	shuffle tracks button	1f500
🔁	repeat button	1f501
🔂	repeat single button	1f502
▶️	play button	25b6-fe0f
⏩	fast-forward button	23e9
⏭️	next track button	23ed-fe0f
⏯️	play or pause button	23ef-fe0f
◀️	reverse button	25c0-fe0f
⏪	fast reverse button	23ea
⏮️	last track button	23ee-fe0f
🔼	upwards button	1f53c
⏫	fast up button	23eb
🔽	downwards button	1f53d
⏬	fast down button	23ec
⏸️	pause button	23f8-fe0f
⏹️	stop button	23f9-fe0f
⏺️	record button	23fa-fe0f
⏏️	eject button	23cf-fe0f
🎦	cinema	1f3a6
🔅	dim button	1f505
🔆	bright button	1f506
📶	antenna bars	1f4f6
🛜	wireless	1f6dc
📳	vibration mode	1f4f3
📴	mobile phone off	1f4f4
♀️	female sign	2640-fe0f
♂️	male sign	2642-fe0f
⚧️	transgender symbol	26a7-fe0f
✖️	multiply	2716-fe0f
➕	plus	2795
➖	minus	2796
➗	divide	2797
🟰	heavy equals sign	1f7f0
♾️	infinity	267e-fe0f
‼️	double exclamation mark	203c-fe0f
⁉️	exclamation question mark	2049-fe0f
❓	red question mark	2753
❔	white question mark	2754
❕	white exclamation mark	2755
❗	red exclamation mark	2757
〰️	wavy dash	3030-fe0f
💱	currency exchange	1f4b1
💲	heavy dollar sign	1f4b2
⚕️	medical symbol	2695-fe0f
♻️	recycling symbol	267b-fe0f
⚜️	fleur-de-lis	269c-fe0f
🔱	trident emblem	1f531
📛	name badge	1f4db
🔰	Japanese symbol for beginner	1f530
⭕	hollow red circle	2b55
✅	check mark button	2705
☑️	check box with check	2611-fe0f
✔️	check mark	2714-fe0f
❌	cross mark	274c
❎	cross mark button	274e
➰	curly loop	27b0
➿	double curly loop	27bf
〽️	part alternation mark	303d-fe0f
✳️	eight-spoked asterisk	2733-fe0f
✴️	eight-pointed star	2734-fe0f
❇️	sparkle	2747-fe0f
©️	copyright	00a9-fe0f
®️	registered	00ae-fe0f
™️	trade mark	2122-fe0f
🫟	splatter	1fadf
#️⃣	keycap: #	0023-fe0f-20e3
*️⃣	keycap: *	002a-fe0f-20e3
0️⃣	keycap: 0	0030-fe0f-20e3
1️⃣	keycap: 1	0031-fe0f-20e3
2️⃣	keycap: 2	0032-fe0f-20e3
3️⃣	keycap: 3	0033-fe0f-20e3
4️⃣	keycap: 4	0034-fe0f-20e3
5️⃣	keycap: 5	0035-fe0f-20e3
6️⃣	keycap: 6	0036-fe0f-20e3
7️⃣	keycap: 7	0037-fe0f-20e3
8️⃣	keycap: 8	0038-fe0f-20e3
9️⃣	keycap: 9	0039-fe0f-20e3
🔟	keycap: 10	1f51f
🔠	input latin uppercase	1f520
🔡	input latin lowercase	1f521
🔢	input numbers	1f522
🔣	input symbols	1f523
🔤	input latin letters	1f524
🅰️	A button (blood type)	1f170-fe0f
🆎	AB button (blood type)	1f18e
🅱️	B button (blood type)	1f171-fe0f
🆑	CL button	1f191
🆒	COOL button	1f192
🆓	FREE button	1f193
ℹ️	information	2139-fe0f
🆔	ID button	1f194
Ⓜ️	circled M	24c2-fe0f
🆕	NEW button	1f195
🆖	NG button	1f196
🅾️	O button (blood type)	1f17e-fe0f
🆗	OK button	1f197
🅿️	P button	1f17f-fe0f
🆘	SOS button	1f198
🆙	UP! button	1f199
🆚	VS button	1f19a
🈁	Japanese “here” button	1f201
🈂️	Japanese “service charge” button	1f202-fe0f
🈷️	Japanese “monthly amount” button	1f237-fe0f
🈶	Japanese “not free of charge” button	1f236
🈯	Japanese “reserved” button	1f22f
🉐	Japanese “bargain” button	1f250
🈹	Japanese “discount” button	1f239
🈚	Japanese “free of charge” button	1f21a
🈲	Japanese “prohibited” button	1f232
🉑	Japanese “acceptable” button	1f251
🈸	Japanese “application” button	1f238
🈴	Japanese “passing grade” button	1f234
🈳	Japanese “vacancy” button	1f233
㊗️	Japanese “congratulations” button	3297-fe0f
㊙️	Japanese “secret” button	3299-fe0f
🈺	Japanese “open for business” button	1f23a
🈵	Japanese “no vacancy” button	1f235
🔴	red circle	1f534
🟠	orange circle	1f7e0
🟡	yellow circle	1f7e1
🟢	green circle	1f7e2
🔵	blue circle	1f535
🟣	purple circle	1f7e3
🟤	brown circle	1f7e4
⚫	black circle	26ab
⚪	white circle	26aa
🟥	red square	1f7e5
🟧	orange square	1f7e7
🟨	yellow square	1f7e8
🟩	green square	1f7e9
🟦	blue square	1f7e6
🟪	purple square	1f7ea
🟫	brown square	1f7eb
⬛	black large square	2b1b
⬜	white large square	2b1c
◼️	black medium square	25fc-fe0f
◻️	white medium square	25fb-fe0f
◾	black medium-small square	25fe
◽	white medium-small square	25fd
▪️	black small square	25aa-fe0f
▫️	white small square	25ab-fe0f
🔶	large orange diamond	1f536
🔷	large blue diamond	1f537
🔸	small orange diamond	1f538
🔹	small blue diamond	1f539
🔺	red triangle pointed up	1f53a
🔻	red triangle pointed down	1f53b
💠	diamond with a dot	1f4a0
🔘	radio button	1f518
🔳	white square button	1f533
🔲	black square button	1f532
🏁	chequered flag	1f3c1
🚩	triangular flag	1f6a9
🎌	crossed flags	1f38c
🏴	black flag	1f3f4
🏳️	white flag	1f3f3-fe0f
🏳️‍🌈	rainbow flag	1f3f3-fe0f-200d-1f308
🏳️‍⚧️	transgender flag	1f3f3-fe0f-200d-26a7-fe0f
🏴‍☠️	pirate flag	1f3f4-200d-2620-fe0f
🇦🇨	flag: Ascension Island	1f1e6-1f1e8
🇦🇩	flag: Andorra	1f1e6-1f1e9
🇦🇪	flag: United Arab Emirates	1f1e6-1f1ea
🇦🇫	flag: Afghanistan	1f1e6-1f1eb
🇦🇬	flag: Antigua & Barbuda	1f1e6-1f1ec
🇦🇮	flag: Anguilla	1f1e6-1f1ee
🇦🇱	flag: Albania	1f1e6-1f1f1
🇦🇲	flag: Armenia	1f1e6-1f1f2
🇦🇴	flag: Angola	1f1e6-1f1f4
🇦🇶	flag: Antarctica	1f1e6-1f1f6
🇦🇷	flag: Argentina	1f1e6-1f1f7
🇦🇸	flag: American Samoa	1f1e6-1f1f8
🇦🇹	flag: Austria	1f1e6-1f1f9
🇦🇺	flag: Australia	1f1e6-1f1fa
🇦🇼	flag: Aruba	1f1e6-1f1fc
🇦🇽	flag: Åland Islands	1f1e6-1f1fd
🇦🇿	flag: Azerbaijan	1f1e6-1f1ff
🇧🇦	flag: Bosnia & Herzegovina	1f1e7-1f1e6
🇧🇧	flag: Barbados	1f1e7-1f1e7
🇧🇩	flag: Bangladesh	1f1e7-1f1e9
🇧🇪	flag: Belgium	1f1e7-1f1ea
🇧🇫	flag: Burkina Faso	1f1e7-1f1eb
🇧🇬	flag: Bulgaria	1f1e7-1f1ec
🇧🇭	flag: Bahrain	1f1e7-1f1ed
🇧🇮	flag: Burundi	1f1e7-1f1ee
🇧🇯	flag: Benin	1f1e7-1f1ef
🇧🇱	flag: St. Barthélemy	1f1e7-1f1f1
🇧🇲	flag: Bermuda	1f1e7-1f1f2
🇧🇳	flag: Brunei	1f1e7-1f1f3
🇧🇴	flag: Bolivia	1f1e7-1f1f4
🇧🇶	flag: Caribbean Netherlands	1f1e7-1f1f6
🇧🇷	flag: Brazil	1f1e7-1f1f7
🇧🇸	flag: Bahamas	1f1e7-1f1f8
🇧🇹	flag: Bhutan	1f1e7-1f1f9
🇧🇻	flag: Bouvet Island	1f1e7-1f1fb
🇧🇼	flag: Botswana	1f1e7-1f1fc
🇧🇾	flag: Belarus	1f1e7-1f1fe
🇧🇿	flag: Belize	1f1e7-1f1ff
🇨🇦	flag: Canada	1f1e8-1f1e6
🇨🇨	flag: Cocos (Keeling) Islands	1f1e8-1f1e8
🇨🇩	flag: Congo - Kinshasa	1f1e8-1f1e9
🇨🇫	flag: Central African Republic	1f1e8-1f1eb
🇨🇬	flag: Congo - Brazzaville	1f1e8-1f1ec
🇨🇭	flag: Switzerland	1f1e8-1f1ed
🇨🇮	flag: Côte d’Ivoire	1f1e8-1f1ee
🇨🇰	flag: Cook Islands	1f1e8-1f1f0
🇨🇱	flag: Chile	1f1e8-1f1f1
🇨🇲	flag: Cameroon	1f1e8-1f1f2
🇨🇳	flag: China	1f1e8-1f1f3
🇨🇴	flag: Colombia	1f1e8-1f1f4
🇨🇵	flag: Clipperton Island	1f1e8-1f1f5
🇨🇶	flag: Sark	1f1e8-1f1f6
🇨🇷	flag: Costa Rica	1f1e8-1f1f7
🇨🇺	flag: Cuba	1f1e8-1f1fa
🇨🇻	flag: Cape Verde	1f1e8-1f1fb
